Title,Rating,Director,Writers,Stars,Keywords,Movie_Duration,Genre,Release_Year,Num_of_ratings
close encounters of the third kind ,7.6, steven spielberg, steven spielberg, richard dreyfuss franois truffaut teri garr ,alien mothership close encounter of the third kind single mother vision,138,Drama,-1977,181805
robin hood ,7.6, wolfgang reitherman david hand uncredited, larry clemmons , brian bedford phil harris roger miller ,fox lion forest tax prince,83,Animation,-1973,113584
the long goodbye ,7.6, robert altman, leigh brackett , elliott gould nina van pallandt sterling hayden ,neo noir private detective malibu california topless female f rated,112,Comedy,-1973,25547
duck you sucker ,7.6, sergio leone, sergio leone , rod steiger james coburn romolo valli ,explosive mexican revolution explosion bandit revolutionary,138,Drama,-1971,29566
kellys heroes ,7.6, brian g hutton, troy kennedymartin , clint eastwood telly savalas don rickles ,1940s 20th century world war two soldier man soldier,144,Adventure,-1970,44594
the jungle book ,7.6, wolfgang reitherman james algar uncredited  1 more credit é, larry clemmons , phil harris sebastian cabot louis prima ,jungle bear wild child india musical number,78,Animation,-1967,163495
blowup ,7.6, michelangelo antonioni, michelangelo antonioni , david hemmings vanessa redgrave sarah miles ,photographer murder witness fashion photographer swinging london blow up,111,Drama,-1966,55453
a hard days night ,7.6, richard lester, alun owen , john lennon paul mccartney george harrison ,the beatles beatlemania rock n roll 1960s man in a bathtub,87,Comedy,-1964,39699
contempt ,7.6, jeanluc godard, alberto moravia , brigitte bardot jack palance michel piccoli ,femme fatale satire capri italy filmmaking screenwriter,102,Drama,-1963,28268
breakfast at tiffanys ,7.6, blake edwards, truman capote , audrey hepburn george peppard patricia neal ,writer manhattan new york city typewriter ribbon tiffany and co manhattan new york city drunkenness,115,Comedy,-1961,164042
giant ,7.6, george stevens, edna ferber , elizabeth taylor rock hudson james dean ,rancher epic texas oil rivalry,201,Drama,-1956,33482
from here to eternity ,7.6, fred zinnemann, daniel taradash , burt lancaster montgomery clift deborah kerr ,dead soldier drunk soldier torture boxing bugler,118,Drama,-1953,42656
lifeboat ,7.6, alfred hitchcock, john steinbeck , tallulah bankhead john hodiak walter slezak ,sea nazi u boat lifeboat world war two,97,Drama,-1944,26052
snow white and the seven dwarfs ,7.6, william cottrell david hand  4 more credits é, jacob grimm , adriana caselotti harry stockwell lucille la verne ,dwarf brothers grimm fairy tale evil stepmother based on fairy tale,83,Animation,-1937,178410
the 39 steps ,7.6, alfred hitchcock, john buchan , robert donat madeleine carroll lucie mannheim ,on the run macguffin false accusation female spy hotel,86,Mystery,-1935,50920
